image_name,strategy,build_success,build_time_sec,error_category,vulns_before_total,vulns_after_total,reduction_pct,new_vulns_introduced,crit_before,high_before,med_before,low_before,crit_after,high_after,med_after,low_after,size_before_mb,size_after_mb,acceptance,base_before,base_after,os_family,notes
eclipse-temurin-21,Copacetic,False,12.38,COPA_RESCAN_FAILED,53,53,0.0,0,0,0,24,29,0,0,24,29,200.82,0.0,False,eclipse-temurin:21,,ubuntu,Copa patched but Trivy re-scan failed — not counted as success
eclipse-temurin-21,Docker-Scout,False,0.0,SCOUT_NO_REC,53,53,0.0,0,0,0,24,29,0,0,24,29,200.82,0.0,False,eclipse-temurin:21,,ubuntu,No recommendation
eclipse-temurin-21,AutoPatch,True,5.9,,53,8,84.91,8,0,0,24,29,1,3,4,0,200.82,70.46,False,eclipse-temurin:21,eclipse-temurin:21-jre-alpine,ubuntu,os=ubuntu
elasticsearch-7.17.0,Scan-Only,True,19.77,,827,827,0.0,0,0,40,535,252,0,40,535,252,361.88,361.88,False,docker.elastic.co/elasticsearch/elasticsearch:7.17.0,,ubuntu,
elasticsearch-7.17.0,Naive-Latest,False,0.64,IMAGE_NOT_FOUND,827,0,0.0,0,0,40,535,252,0,0,0,0,361.88,0.0,False,docker.elastic.co/elasticsearch/elasticsearch:7.17.0,,ubuntu,
elasticsearch-7.17.0,Copacetic,False,0.24,COPA_FAILURE,827,827,0.0,0,0,40,535,252,0,40,535,252,361.88,0.0,False,docker.elastic.co/elasticsearch/elasticsearch:7.17.0,,ubuntu,"Copa error: time=""2026-03-28T04:13:31Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-elasticsearch-7.1"
elasticsearch-7.17.0,Docker-Scout,False,0.0,SCOUT_NO_REC,827,827,0.0,0,0,40,535,252,0,40,535,252,361.88,0.0,False,docker.elastic.co/elasticsearch/elasticsearch:7.17.0,,ubuntu,No recommendation
elasticsearch-7.17.0,AutoPatch,True,40.61,,827,90,89.12,8,0,40,535,252,3,23,46,18,361.88,667.68,False,docker.elastic.co/elasticsearch/elasticsearch:7.17.0,docker.elastic.co/elasticsearch/elasticsearch:8.17.0,ubuntu,os=ubuntu
ghost-5,Scan-Only,True,41.04,,265,265,0.0,0,7,93,73,91,7,93,73,91,192.42,192.42,False,ghost:5,,debian,
ghost-5,Naive-Latest,True,50.88,,265,227,14.34,4,7,93,73,91,7,67,62,90,192.42,237.1,True,ghost:5,,debian,
ghost-5,Copacetic,False,0.25,COPA_FAILURE,265,265,0.0,0,7,93,73,91,7,93,73,91,192.42,0.0,False,ghost:5,,debian,"Copa error: time=""2026-03-28T04:17:17Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-ghost-5-orig:v3-g"
ghost-5,Docker-Scout,False,0.0,SCOUT_NO_REC,265,265,0.0,0,7,93,73,91,7,93,73,91,192.42,0.0,False,ghost:5,,debian,No recommendation
ghost-5,AutoPatch,True,37.75,,265,170,35.85,1,7,93,73,91,6,92,55,17,192.42,168.0,True,ghost:5,ghost:5-alpine,debian,os=debian
gitlab-runner,Scan-Only,True,23.66,,637,637,0.0,0,13,117,394,113,13,117,394,113,489.55,489.55,False,gitlab/gitlab-runner:v15.0.0,,ubuntu,
gitlab-runner,Naive-Latest,True,10.01,,637,67,89.48,29,13,117,394,113,3,6,27,31,489.55,101.68,True,gitlab/gitlab-runner:v15.0.0,,ubuntu,
gitlab-runner,Copacetic,False,0.27,COPA_FAILURE,637,637,0.0,0,13,117,394,113,13,117,394,113,489.55,0.0,False,gitlab/gitlab-runner:v15.0.0,,ubuntu,"Copa error: time=""2026-03-28T04:19:27Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-gitlab-runner-ori"
gitlab-runner,Docker-Scout,False,0.0,SCOUT_NO_REC,637,637,0.0,0,13,117,394,113,13,117,394,113,489.55,0.0,False,gitlab/gitlab-runner:v15.0.0,,ubuntu,No recommendation
gitlab-runner,AutoPatch,True,6.02,,637,19,97.02,6,13,117,394,113,4,7,6,2,489.55,64.19,True,gitlab/gitlab-runner:v15.0.0,gitlab/gitlab-runner:alpine,ubuntu,os=ubuntu
golang-1.16,Scan-Only,True,39.25,,9024,9024,0.0,0,141,2394,5459,1003,141,2394,5459,1003,324.72,324.72,False,golang:1.16,,debian,
golang-1.16,Naive-Latest,True,32.08,,9024,913,89.88,104,141,2394,5459,1003,0,67,221,617,324.72,297.64,True,golang:1.16,,debian,
golang-1.16,Copacetic,False,0.99,COPA_FAILURE,9024,9024,0.0,0,141,2394,5459,1003,141,2394,5459,1003,324.72,0.0,False,golang:1.16,,debian,"Copa error: time=""2026-03-28T04:22:19Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.16-orig:"
golang-1.16,Docker-Scout,False,0.0,SCOUT_NO_REC,9024,9024,0.0,0,141,2394,5459,1003,141,2394,5459,1003,324.72,0.0,False,golang:1.16,,debian,No recommendation
golang-1.16,AutoPatch,True,11.94,,9024,1663,81.57,1,141,2394,5459,1003,77,755,793,38,324.72,103.95,True,golang:1.16,golang:1.16-alpine,debian,os=debian
golang-1.16-alpine,Scan-Only,True,12.12,,1663,1663,0.0,0,77,755,793,38,77,755,793,38,103.95,103.95,False,golang:1.16-alpine,,alpine,
golang-1.16-alpine,Naive-Latest,True,28.92,,1663,913,45.1,395,77,755,793,38,0,67,221,617,103.95,297.64,True,golang:1.16-alpine,,alpine,
golang-1.16-alpine,Copacetic,False,0.29,COPA_FAILURE,1663,1663,0.0,0,77,755,793,38,77,755,793,38,103.95,0.0,False,golang:1.16-alpine,,alpine,"Copa error: time=""2026-03-28T04:24:00Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.16-alpin"
golang-1.16-alpine,Docker-Scout,False,0.0,SCOUT_NO_REC,1663,1663,0.0,0,77,755,793,38,77,755,793,38,103.95,0.0,False,golang:1.16-alpine,,alpine,No recommendation
golang-1.16-alpine,AutoPatch,True,0.87,,1663,1663,0.0,0,77,755,793,38,77,755,793,38,103.95,103.95,False,golang:1.16-alpine,golang:1.16-alpine,alpine,os=alpine
golang-1.18,Scan-Only,True,30.2,,7240,7240,0.0,0,114,1717,4430,954,114,1717,4430,954,337.24,337.24,False,golang:1.18,,debian,
golang-1.18,Naive-Latest,True,1.13,,7240,913,87.39,104,114,1717,4430,954,0,67,221,617,337.24,297.64,True,golang:1.18,,debian,
golang-1.18,Copacetic,False,0.86,COPA_FAILURE,7240,7240,0.0,0,114,1717,4430,954,114,1717,4430,954,337.24,0.0,False,golang:1.18,,debian,"Copa error: time=""2026-03-28T04:25:02Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.18-orig:"
golang-1.18,Docker-Scout,False,0.0,SCOUT_NO_REC,7240,7240,0.0,0,114,1717,4430,954,114,1717,4430,954,337.24,0.0,False,golang:1.18,,debian,No recommendation
golang-1.18,AutoPatch,True,12.91,,7240,1268,82.49,18,114,1717,4430,954,78,423,742,25,337.24,113.55,True,golang:1.18,golang:1.18-alpine,debian,os=debian
golang-1.19,Scan-Only,True,31.51,,6859,6859,0.0,0,59,1550,4449,779,59,1550,4449,779,361.56,361.56,False,golang:1.19,,debian,
golang-1.19,Naive-Latest,True,0.93,,6859,913,86.69,74,59,1550,4449,779,0,67,221,617,361.56,297.64,True,golang:1.19,,debian,
golang-1.19,Copacetic,False,0.78,COPA_FAILURE,6859,6859,0.0,0,59,1550,4449,779,59,1550,4449,779,361.56,0.0,False,golang:1.19,,debian,"Copa error: time=""2026-03-28T04:26:35Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.19-orig:"
golang-1.19,Docker-Scout,False,0.0,SCOUT_NO_REC,6859,6859,0.0,0,59,1550,4449,779,59,1550,4449,779,361.56,0.0,False,golang:1.19,,debian,No recommendation
golang-1.19,AutoPatch,True,13.89,,6859,931,86.43,5,59,1550,4449,779,38,215,655,23,361.56,120.33,True,golang:1.19,golang:1.19-alpine,debian,os=debian
golang-1.19-bullseye,Scan-Only,True,30.21,,6018,6018,0.0,0,68,1318,3699,908,68,1318,3699,908,343.92,343.92,False,golang:1.19-bullseye,,debian,
golang-1.19-bullseye,Naive-Latest,True,0.91,,6018,913,84.83,104,68,1318,3699,908,0,67,221,617,343.92,297.64,True,golang:1.19-bullseye,,debian,
golang-1.19-bullseye,Copacetic,False,0.71,COPA_FAILURE,6018,6018,0.0,0,68,1318,3699,908,68,1318,3699,908,343.92,0.0,False,golang:1.19-bullseye,,debian,"Copa error: time=""2026-03-28T04:28:00Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.19-bulls"
golang-1.19-bullseye,Docker-Scout,False,0.0,SCOUT_NO_REC,6018,6018,0.0,0,68,1318,3699,908,68,1318,3699,908,343.92,0.0,False,golang:1.19-bullseye,,debian,No recommendation
golang-1.19-bullseye,AutoPatch,True,0.83,,6018,931,84.53,10,68,1318,3699,908,38,215,655,23,343.92,120.33,True,golang:1.19-bullseye,golang:1.19-alpine,debian,os=debian
golang-1.20,Scan-Only,True,29.36,,6064,6064,0.0,0,55,1311,3926,754,55,1311,3926,754,315.28,315.28,False,golang:1.20,,debian,
golang-1.20,Naive-Latest,True,0.87,,6064,913,84.94,74,55,1311,3926,754,0,67,221,617,315.28,297.64,True,golang:1.20,,debian,
golang-1.20,Copacetic,False,0.84,COPA_FAILURE,6064,6064,0.0,0,55,1311,3926,754,55,1311,3926,754,315.28,0.0,False,golang:1.20,,debian,"Copa error: time=""2026-03-28T04:28:59Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.20-orig:"
golang-1.20,Docker-Scout,False,0.0,SCOUT_NO_REC,6064,6064,0.0,0,55,1311,3926,754,55,1311,3926,754,315.28,0.0,False,golang:1.20,,debian,No recommendation
golang-1.20,AutoPatch,True,11.67,,6064,838,86.18,7,55,1311,3926,754,40,164,605,29,315.28,100.0,True,golang:1.20,golang:1.20-alpine,debian,os=debian
golang-1.21,Scan-Only,True,27.35,,4795,4795,0.0,0,30,1007,2996,744,30,1007,2996,744,283.24,283.24,False,golang:1.21,,debian,
golang-1.21,Naive-Latest,True,31.78,,4795,913,80.96,74,30,1007,2996,744,0,67,221,617,283.24,297.64,True,golang:1.21,,debian,
golang-1.21,Copacetic,False,1.02,COPA_FAILURE,4795,4795,0.0,0,30,1007,2996,744,30,1007,2996,744,283.24,0.0,False,golang:1.21,,debian,"Copa error: time=""2026-03-28T04:31:24Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-golang-1.21-orig:"
golang-1.21,Docker-Scout,False,0.0,SCOUT_NO_REC,4795,4795,0.0,0,30,1007,2996,744,30,1007,2996,744,283.24,0.0,False,golang:1.21,,debian,No recommendation
golang-1.21,AutoPatch,True,16.94,,4795,631,86.84,7,30,1007,2996,744,21,143,441,26,283.24,67.64,True,golang:1.21,golang:1.21-alpine,debian,os=debian
haproxy-2.4,Scan-Only,True,5.12,,75,75,0.0,0,0,0,3,72,0,0,3,72,37.02,37.02,False,haproxy:2.4,,debian,
haproxy-2.4,Naive-Latest,True,2.45,,75,75,0.0,0,0,0,3,72,0,0,3,72,37.02,43.75,False,haproxy:2.4,,debian,
haproxy-2.4,Copacetic,False,2.65,COPA_RESCAN_FAILED,75,75,0.0,0,0,0,3,72,0,0,3,72,37.02,0.0,False,haproxy:2.4,,debian,Copa patched but Trivy re-scan failed — not counted as success
haproxy-2.4,Docker-Scout,False,0.0,SCOUT_NO_REC,75,75,0.0,0,0,0,3,72,0,0,3,72,37.02,0.0,False,haproxy:2.4,,debian,No recommendation
haproxy-2.4,AutoPatch,True,2.39,,75,0,100.0,0,0,0,3,72,0,0,0,0,37.02,14.37,True,haproxy:2.4,haproxy:3.1-alpine,debian,os=debian
haproxy-2.6,Scan-Only,True,2.23,,75,75,0.0,0,0,0,3,72,0,0,3,72,37.25,37.25,False,haproxy:2.6,,debian,
haproxy-2.6,Naive-Latest,True,0.75,,75,75,0.0,0,0,0,3,72,0,0,3,72,37.25,43.75,False,haproxy:2.6,,debian,
haproxy-2.6,Copacetic,False,2.84,COPA_RESCAN_FAILED,75,75,0.0,0,0,0,3,72,0,0,3,72,37.25,0.0,False,haproxy:2.6,,debian,Copa patched but Trivy re-scan failed — not counted as success
haproxy-2.6,Docker-Scout,False,0.0,SCOUT_NO_REC,75,75,0.0,0,0,0,3,72,0,0,3,72,37.25,0.0,False,haproxy:2.6,,debian,No recommendation
haproxy-2.6,AutoPatch,True,0.8,,75,0,100.0,0,0,0,3,72,0,0,0,0,37.25,14.37,True,haproxy:2.6,haproxy:3.1-alpine,debian,os=debian
httpd-2.4.46,Scan-Only,True,6.11,,283,283,0.0,0,27,113,111,23,27,113,111,23,51.91,51.91,False,httpd:2.4.46,,debian,
httpd-2.4.46,Naive-Latest,True,2.88,,283,124,56.18,66,27,113,111,23,0,1,15,107,51.91,43.14,True,httpd:2.4.46,,debian,
httpd-2.4.46,Copacetic,False,0.18,COPA_FAILURE,283,283,0.0,0,27,113,111,23,27,113,111,23,51.91,0.0,False,httpd:2.4.46,,debian,"Copa error: time=""2026-03-28T04:32:50Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-httpd-2.4.46-orig"
httpd-2.4.46,Docker-Scout,False,0.0,SCOUT_NO_REC,283,283,0.0,0,27,113,111,23,27,113,111,23,51.91,0.0,False,httpd:2.4.46,,debian,No recommendation
httpd-2.4.46,AutoPatch,True,3.61,,283,7,97.53,7,27,113,111,23,1,2,3,1,51.91,19.87,True,httpd:2.4.46,httpd:2.4-alpine,debian,os=debian
httpd-2.4.54,Scan-Only,True,6.62,,384,384,0.0,0,15,79,142,140,15,79,142,140,54.46,54.46,False,httpd:2.4.54,,debian,
httpd-2.4.54,Naive-Latest,True,0.83,,384,124,67.71,6,15,79,142,140,0,1,15,107,54.46,43.14,True,httpd:2.4.54,,debian,
httpd-2.4.54,Copacetic,False,0.21,COPA_FAILURE,384,384,0.0,0,15,79,142,140,15,79,142,140,54.46,0.0,False,httpd:2.4.54,,debian,"Copa error: time=""2026-03-28T04:33:12Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-httpd-2.4.54-orig"
httpd-2.4.54,Docker-Scout,False,0.0,SCOUT_NO_REC,384,384,0.0,0,15,79,142,140,15,79,142,140,54.46,0.0,False,httpd:2.4.54,,debian,No recommendation
httpd-2.4.54,AutoPatch,True,0.8,,384,7,98.18,2,15,79,142,140,1,2,3,1,54.46,19.87,True,httpd:2.4.54,httpd:2.4-alpine,debian,os=debian
jenkins-lts,Scan-Only,True,16.34,,182,182,0.0,0,1,11,37,131,1,11,37,131,275.11,275.11,False,jenkins/jenkins:lts,,debian,
jenkins-lts,Naive-Latest,True,16.05,,182,170,6.59,0,1,11,37,131,1,7,30,131,275.11,275.43,True,jenkins/jenkins:lts,,debian,
jenkins-lts,Copacetic,False,0.23,COPA_FAILURE,182,182,0.0,0,1,11,37,131,1,11,37,131,275.11,0.0,False,jenkins/jenkins:lts,,debian,"Copa error: time=""2026-03-28T04:34:37Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-jenkins-lts-orig:"
jenkins-lts,Docker-Scout,False,0.0,SCOUT_NO_REC,182,182,0.0,0,1,11,37,131,1,11,37,131,275.11,0.0,False,jenkins/jenkins:lts,,debian,No recommendation
jenkins-lts,AutoPatch,True,8.38,,182,10,94.51,2,1,11,37,131,1,4,5,0,275.11,191.48,True,jenkins/jenkins:lts,jenkins/jenkins:lts-alpine,debian,os=debian
joomla-4,Scan-Only,True,105.21,,2455,2455,0.0,0,38,335,1258,806,38,335,1258,806,249.76,249.76,False,joomla:4,,debian,
joomla-4,Naive-Latest,True,105.38,,2455,1125,54.18,81,38,335,1258,806,0,80,297,739,249.76,265.22,True,joomla:4,,debian,
joomla-4,Copacetic,False,0.35,COPA_FAILURE,2455,2455,0.0,0,38,335,1258,806,38,335,1258,806,249.76,0.0,False,joomla:4,,debian,"Copa error: time=""2026-03-28T04:39:34Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-joomla-4-orig:v3-"
joomla-4,Docker-Scout,False,0.0,SCOUT_NO_REC,2455,2455,0.0,0,38,335,1258,806,38,335,1258,806,249.76,0.0,False,joomla:4,,debian,No recommendation
joomla-4,AutoPatch,True,93.03,,2455,1125,54.18,81,38,335,1258,806,0,80,297,739,249.76,262.01,True,joomla:4,joomla:5-php8.3-apache,debian,os=debian
mariadb-10.11,Scan-Only,True,47.49,,54,54,0.0,0,1,5,21,27,1,5,21,27,101.38,101.38,False,mariadb:10.11,,ubuntu,
mariadb-10.11,Naive-Latest,True,27.95,,54,37,31.48,0,1,5,21,27,1,5,20,11,101.38,101.85,True,mariadb:10.11,,ubuntu,
mariadb-10.11,Copacetic,False,6.73,COPA_RESCAN_FAILED,54,54,0.0,0,1,5,21,27,1,5,21,27,101.38,0.0,False,mariadb:10.11,,ubuntu,Copa patched but Trivy re-scan failed — not counted as success
mariadb-10.11,Docker-Scout,False,0.0,SCOUT_NO_REC,54,54,0.0,0,1,5,21,27,1,5,21,27,101.38,0.0,False,mariadb:10.11,,ubuntu,No recommendation
mariadb-10.11,AutoPatch,True,16.19,,54,37,31.48,0,1,5,21,27,1,5,20,11,101.38,101.35,True,mariadb:10.11,mariadb:11,ubuntu,os=ubuntu
mariadb-10.5,Scan-Only,True,47.04,,85,85,0.0,0,4,37,42,2,4,37,42,2,115.43,115.43,False,mariadb:10.5,,ubuntu,
mariadb-10.5,Naive-Latest,True,41.43,,85,37,56.47,10,4,37,42,2,1,5,20,11,115.43,101.85,True,mariadb:10.5,,ubuntu,
mariadb-10.5,Copacetic,False,0.18,COPA_FAILURE,85,85,0.0,0,4,37,42,2,4,37,42,2,115.43,0.0,False,mariadb:10.5,,ubuntu,"Copa error: time=""2026-03-28T04:45:42Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-mariadb-10.5-orig"
mariadb-10.5,Docker-Scout,False,0.0,SCOUT_NO_REC,85,85,0.0,0,4,37,42,2,4,37,42,2,115.43,0.0,False,mariadb:10.5,,ubuntu,No recommendation
mariadb-10.5,AutoPatch,True,26.66,,85,37,56.47,10,4,37,42,2,1,5,20,11,115.43,101.35,True,mariadb:10.5,mariadb:11,ubuntu,os=ubuntu
multistage-go,Scan-Only,True,121.03,,62,62,0.0,0,4,21,36,1,4,21,36,1,10.41,10.41,False,golang:1.18,,alpine,
multistage-go,Naive-Latest,True,117.08,,62,2,96.77,2,4,21,36,1,0,1,1,0,10.41,9.58,True,golang:1.18,,alpine,
multistage-go,Copacetic,False,1.12,COPA_RESCAN_FAILED,62,62,0.0,0,4,21,36,1,4,21,36,1,10.41,0.0,False,golang:1.18,,alpine,Copa patched but Trivy re-scan failed — not counted as success
multistage-go,Docker-Scout,False,0.0,SCOUT_NO_REC,62,62,0.0,0,4,21,36,1,4,21,36,1,10.41,0.0,False,golang:1.18,,alpine,No recommendation
multistage-go,AutoPatch,True,46.52,,62,62,0.0,0,4,21,36,1,4,21,36,1,10.41,11.18,False,golang:1.18,golang:1.18-alpine,alpine,os=alpine
multistage-node,Scan-Only,True,146.66,,128,128,0.0,0,2,54,52,18,2,54,52,18,62.16,62.16,False,node:16,,debian,
multistage-node,Naive-Latest,True,139.41,,128,2116,-1553.12,1025,2,54,52,18,33,236,852,983,62.16,388.51,False,node:16,,debian,
multistage-node,Copacetic,False,0.19,COPA_FAILURE,128,128,0.0,0,2,54,52,18,2,54,52,18,62.16,0.0,False,node:16,,debian,"Copa error: time=""2026-03-28T05:05:05Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-multistage-node-o"
multistage-node,Docker-Scout,False,0.0,SCOUT_NO_REC,128,128,0.0,0,2,54,52,18,2,54,52,18,62.16,0.0,False,node:16,,debian,No recommendation
multistage-node,AutoPatch,True,16.98,,128,62,51.56,17,2,54,52,18,0,23,29,10,62.16,40.42,True,node:16,node:16-alpine,debian,os=debian
multistage-python,Scan-Only,True,150.22,,217,217,0.0,0,5,27,78,106,5,27,78,106,49.97,49.97,False,python:3.8,,debian,
multistage-python,Naive-Latest,False,97.02,IMAGE_NOT_FOUND,217,0,0.0,0,5,27,78,106,0,0,0,0,49.97,0.0,False,python:3.8,,debian,
multistage-python,Copacetic,False,0.2,COPA_FAILURE,217,217,0.0,0,5,27,78,106,5,27,78,106,49.97,0.0,False,python:3.8,,debian,"Copa error: time=""2026-03-28T05:09:41Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-multistage-python"
multistage-python,Docker-Scout,False,0.0,SCOUT_NO_REC,217,217,0.0,0,5,27,78,106,5,27,78,106,49.97,0.0,False,python:3.8,,debian,No recommendation
multistage-python,AutoPatch,True,13.65,,217,63,70.97,9,5,27,78,106,4,17,32,10,49.97,19.86,True,python:3.8,python:3.8-alpine,debian,os=debian
mysql-5.7,Scan-Only,True,61.54,,155,155,0.0,0,4,75,66,10,4,75,66,10,131.52,131.52,False,mysql:5.7,,rhel,
mysql-5.7,Naive-Latest,True,110.31,,155,25,83.87,1,4,75,66,10,1,7,14,3,131.52,254.03,True,mysql:5.7,,rhel,
mysql-5.7,Copacetic,False,0.19,COPA_FAILURE,155,155,0.0,0,4,75,66,10,4,75,66,10,131.52,0.0,False,mysql:5.7,,rhel,"Copa error: time=""2026-03-28T05:13:49Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-mysql-5.7-orig:v3"
mysql-5.7,Docker-Scout,False,0.0,SCOUT_NO_REC,155,155,0.0,0,4,75,66,10,4,75,66,10,131.52,0.0,False,mysql:5.7,,rhel,No recommendation
mysql-5.7,AutoPatch,True,61.75,,155,25,83.87,1,4,75,66,10,1,7,14,3,131.52,222.42,True,mysql:5.7,mysql:8.4,rhel,os=rhel
mysql-8.0,Scan-Only,True,74.97,,25,25,0.0,0,1,7,14,3,1,7,14,3,221.54,221.54,False,mysql:8.0,,rhel,
mysql-8.0,Naive-Latest,True,0.88,,25,25,0.0,0,1,7,14,3,1,7,14,3,221.54,254.03,False,mysql:8.0,,rhel,
mysql-8.0,Copacetic,False,14.86,COPA_RESCAN_FAILED,25,25,0.0,0,1,7,14,3,1,7,14,3,221.54,0.0,False,mysql:8.0,,rhel,Copa patched but Trivy re-scan failed — not counted as success
mysql-8.0,Docker-Scout,False,0.0,SCOUT_NO_REC,25,25,0.0,0,1,7,14,3,1,7,14,3,221.54,0.0,False,mysql:8.0,,rhel,No recommendation
mysql-8.0,AutoPatch,True,0.85,,25,25,0.0,0,1,7,14,3,1,7,14,3,221.54,222.42,False,mysql:8.0,mysql:8.4,rhel,os=rhel
nextcloud-25,Scan-Only,True,130.44,,5707,5707,0.0,0,94,1315,3193,1073,94,1315,3193,1073,354.33,354.33,False,nextcloud:25,,debian,
nextcloud-25,Naive-Latest,True,185.99,,5707,1148,79.88,108,94,1315,3193,1073,0,94,290,755,354.33,507.27,True,nextcloud:25,,debian,
nextcloud-25,Copacetic,False,1.07,COPA_FAILURE,5707,5707,0.0,0,94,1315,3193,1073,94,1315,3193,1073,354.33,0.0,False,nextcloud:25,,debian,"Copa error: time=""2026-03-28T05:24:27Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-nextcloud-25-orig"
nextcloud-25,Docker-Scout,False,0.0,SCOUT_NO_REC,5707,5707,0.0,0,94,1315,3193,1073,94,1315,3193,1073,354.33,0.0,False,nextcloud:25,,debian,No recommendation
nextcloud-25,AutoPatch,True,155.63,,5707,3080,46.03,500,94,1315,3193,1073,64,580,1599,817,354.33,428.79,True,nextcloud:25,nextcloud:29-apache,debian,os=debian
nextcloud-27,Scan-Only,True,156.77,,4731,4731,0.0,0,71,1044,2719,871,71,1044,2719,871,407.78,407.78,False,nextcloud:27,,debian,
nextcloud-27,Naive-Latest,True,1.07,,4731,1148,75.73,78,71,1044,2719,871,0,94,290,755,407.78,507.27,True,nextcloud:27,,debian,
nextcloud-27,Copacetic,False,0.57,COPA_FAILURE,4731,4731,0.0,0,71,1044,2719,871,71,1044,2719,871,407.78,0.0,False,nextcloud:27,,debian,"Copa error: time=""2026-03-28T05:31:12Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-nextcloud-27-orig"
nextcloud-27,Docker-Scout,False,0.0,SCOUT_NO_REC,4731,4731,0.0,0,71,1044,2719,871,71,1044,2719,871,407.78,0.0,False,nextcloud:27,,debian,No recommendation
nextcloud-27,AutoPatch,True,0.91,,4731,3080,34.9,0,71,1044,2719,871,64,580,1599,817,407.78,428.79,True,nextcloud:27,nextcloud:29-apache,debian,os=debian
vault-1.12,Scan-Only,True,7.18,,164,164,0.0,0,8,66,82,8,8,66,82,8,81.68,81.68,False,hashicorp/vault:1.12.0,,alpine,
vault-1.12,Naive-Latest,True,41.67,,164,7,95.73,2,8,66,82,8,1,3,2,1,81.68,172.46,True,hashicorp/vault:1.12.0,,alpine,
vault-1.12,Copacetic,False,0.17,COPA_FAILURE,164,164,0.0,0,8,66,82,8,8,66,82,8,81.68,0.0,False,hashicorp/vault:1.12.0,,alpine,"Copa error: time=""2026-03-28T05:35:25Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-vault-1.12-orig:v"
vault-1.12,Docker-Scout,False,0.0,SCOUT_NO_REC,164,164,0.0,0,8,66,82,8,8,66,82,8,81.68,0.0,False,hashicorp/vault:1.12.0,,alpine,No recommendation
vault-1.12,AutoPatch,True,0.78,,164,7,95.73,2,8,66,82,8,1,3,2,1,81.68,172.46,True,hashicorp/vault:1.12.0,hashicorp/vault:latest,alpine,os=alpine
vault-1.14,Scan-Only,True,31.93,,119,119,0.0,0,5,37,71,6,5,37,71,6,97.75,97.75,False,hashicorp/vault:1.14.0,,alpine,
vault-1.14,Naive-Latest,True,52.49,,119,7,94.12,2,5,37,71,6,1,3,2,1,97.75,172.46,True,hashicorp/vault:1.14.0,,alpine,
vault-1.14,Copacetic,False,0.24,COPA_FAILURE,119,119,0.0,0,5,37,71,6,5,37,71,6,97.75,0.0,False,hashicorp/vault:1.14.0,,alpine,"Copa error: time=""2026-03-28T05:37:14Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-vault-1.14-orig:v"
vault-1.14,Docker-Scout,False,0.0,SCOUT_NO_REC,119,119,0.0,0,5,37,71,6,5,37,71,6,97.75,0.0,False,hashicorp/vault:1.14.0,,alpine,No recommendation
vault-1.14,AutoPatch,True,0.84,,119,7,94.12,2,5,37,71,6,1,3,2,1,97.75,172.46,True,hashicorp/vault:1.14.0,hashicorp/vault:latest,alpine,os=alpine
alpine-3.14,Scan-Only,True,4.98,,0,0,0.0,0,0,0,0,0,0,0,0,0,4.63,4.63,False,alpine:3.14,,alpine,
alpine-3.14,Naive-Latest,True,12.86,,0,2,-100.0,2,0,0,0,0,0,1,1,0,4.63,6.63,False,alpine:3.14,,alpine,
alpine-3.14,AutoPatch,True,4.83,,0,0,0.0,0,0,0,0,0,0,0,0,0,4.63,6.2,False,alpine:3.14,alpine:3.21,alpine,os=alpine
alpine-3.18,Scan-Only,True,4.8,,0,0,0.0,0,0,0,0,0,0,0,0,0,8.48,8.48,False,alpine:3.18,,alpine,
