image_name,strategy,build_success,build_time_sec,error_category,vulns_before_total,vulns_after_total,reduction_pct,new_vulns_introduced,crit_before,high_before,med_before,low_before,crit_after,high_after,med_after,low_after,size_before_mb,size_after_mb,acceptance,base_before,base_after,os_family,notes
openjdk-11,Naive-Latest,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:11,,,Original build failed: IMAGE_NOT_FOUND
openjdk-11,Copacetic,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:11,,,Original build failed: IMAGE_NOT_FOUND
openjdk-11,Docker-Scout,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:11,,,Original build failed: IMAGE_NOT_FOUND
openjdk-11,AutoPatch,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:11,,,Original build failed: IMAGE_NOT_FOUND
openjdk-17,Scan-Only,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:17,,,Original build failed: IMAGE_NOT_FOUND
openjdk-17,Naive-Latest,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:17,,,Original build failed: IMAGE_NOT_FOUND
openjdk-17,Copacetic,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:17,,,Original build failed: IMAGE_NOT_FOUND
openjdk-17,Docker-Scout,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:17,,,Original build failed: IMAGE_NOT_FOUND
openjdk-17,AutoPatch,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:17,,,Original build failed: IMAGE_NOT_FOUND
openjdk-8,Scan-Only,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:8,,,Original build failed: IMAGE_NOT_FOUND
openjdk-8,Naive-Latest,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:8,,,Original build failed: IMAGE_NOT_FOUND
openjdk-8,Copacetic,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:8,,,Original build failed: IMAGE_NOT_FOUND
openjdk-8,Docker-Scout,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:8,,,Original build failed: IMAGE_NOT_FOUND
openjdk-8,AutoPatch,False,0.0,IMAGE_NOT_FOUND,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,openjdk:8,,,Original build failed: IMAGE_NOT_FOUND
php-7.4,Scan-Only,True,18.15,,6014,6014,0.0,0,20,1283,3807,884,20,1283,3807,884,158.71,158.71,False,php:7.4,,debian,
php-7.4,Naive-Latest,True,71.34,,6014,796,86.76,103,20,1283,3807,884,0,38,156,594,158.71,180.12,False,php:7.4,,debian,
php-7.4,Copacetic,False,0.75,COPA_FAILURE,6014,6014,0.0,0,20,1283,3807,884,20,1283,3807,884,158.71,0.0,False,php:7.4,,debian,"Copa error: time=""2026-03-28T07:54:35Z"" level=info msg=""Starting in single image patching mode...""
Patching: linux/amd64 -> docker.io/library/v3-php-7.4-orig:v3-p"
php-7.4,Docker-Scout,False,0.0,SCOUT_NO_REC,6014,6014,0.0,0,20,1283,3807,884,20,1283,3807,884,158.71,0.0,False,php:7.4,,debian,No recommendation
php-7.4,AutoPatch,True,4.22,,6014,80,98.67,6,20,1283,3807,884,4,29,43,4,158.71,28.68,True,php:7.4,php:7.4-alpine,debian,os=debian
php-7.4-apache,Scan-Only,True,4.85,,6212,6212,0.0,0,43,1348,3868,929,43,1348,3868,929,155.71,155.71,False,php:7.4-apache,,debian,
php-7.4-apache,Naive-Latest,True,0.82,,6212,796,87.19,102,43,1348,3868,929,0,38,156,594,155.71,180.12,False,php:7.4-apache,,debian,
